Query,shape_name,Qty,Qty.UOM,material_type,production_process,cold_finishing_process,heat_treated_condition,surface_condition,surface_finish,end_type,edge_type,standard_designation,quality_designation,d_grade,uom_system,d_size,d_height,rebar_size_designation,cross_sectional_area,structural_size_designation,d_depth,flange_thickness,web_thickness,d_sidea,d_sideb,d_width,d_wallthickness,d_outerdiameter,d_innerdiameter,d_nominalsize,d_schedule,d_thickness,d_gauge,d_length,d_swd,d_type,weight_per_length,weight_per_surface_area,weight_per_piece,coating_type,coating_designation,coating_thickness,coating_weightt
"(4) 60  x 144 , 11ga 304 stainless steel, domestic",Sheet,4,piece,Stainless Steel,,,,,,,,,,304,,,,,,,,,,,,60,,,,,,,11,144,,,,,,,,,
Qty (1) ¼  x 96  x 120  304SS plate,Plate,1,piece,Stainless Steel,,,,,,,,,,304,,,,,,,,,,,,96,,,,,,.25,,120,,,,,,,,,
Qty (1) ¼  x 48  x 96  304SS plate,Plate,1,piece,Stainless Steel,,,,,,,,,,304,,,,,,,,,,,,48,,,,,,.25,,96,,,,,,,,,
Qty (2) ½  x 8  x 144  long 304SS flat,Flat Bar,2,piece,Stainless Steel,,,,,,,,,,304,,,,,,,,,,,,8,,,,,,.5,,144,,,,,,,,,
HRANG-.187-1.500X1.500-240.000L qty = 19 ,L-Angle,19,piece,Carbon Steel,Hot-Rolled,,,,,,,,,,,,,,,,,,,1.5,1.5,,,,,,,.187,,240,,,,,,,,,
HRTB-.125-2.000X3.000-240.000L (REC)   qty = 9,Rectangular Tube,9,piece,Carbon Steel,Hot-Rolled,,,,,,,,,,,,3.0,,,,,,,,,2.0,.125,,,,,,,240,,,,,,,,,
1 @ 48 x96 x1/4  304 plate,Plate,1,piece,Stainless Steel,,,,,,,,,,304,,,,,,,,,,,,48.0,,,,,,0.25,,96.0,,,,,,,,,
3 @ 48 x96 x1/4  304 plate,Plate,3,piece,Stainless Steel,,,,,,,,,,304,,,,,,,,,,,,48.0,,,,,,0.25,,96.0,,,,,,,,,
1pc 1 ¾ HR 1045 Round x 20’ R/L,Round Bar,1,piece,Carbon Steel,Hot-Rolled,,,,,,,,,1045,,1.75,,,,,,,,,,,,,,,,,,240,,,,,,,,,
All Aluminum Grade - 6061-T6511 12’2.0 SQ = 2 PCS,Square Bar,2,piece,Aluminum,,,T6511,,,,,,,6061,,2.0,,,,,,,,,,,,,,,,,,144.0,,,,,,,,,
